article_url,headline,summary
http://www.bbc.com/news/live/world-52539905,UK reports highest death toll in Europe,"Foreign Secretary Dominic Raab says there will be no ""real verdict"" until the pandemic is over."
http://www.bbc.com/news/world-africa-52544187,"Do not use untested Covid-19 remedies, WHO warns",NA
https://www.bbc.co.uk/news/live/world-africa-47639452?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5eb153935c8cf7066bdf9e36%26Sudan%20to%20launch%20gold%20stock%20exchange%262020-05-05T12%3A56%3A53.636Z&ns_fee=0&pinned_post_locator=urn:asset:6a074969-93a3-498d-af1d-2b675b421716&pinned_post_asset_id=5eb153935c8cf7066bdf9e36&pinned_post_type=share,Africa Live: Sudan to launch gold stock exchange,NA
http://www.bbc.com/sport/football/52548531,England and Scotland players give to NHS,NA
http://www.bbc.com/news/world-africa-52478344,How do African countries compare on testing?,NA
http://www.bbc.com/news/business-52542038,"Virgin Atlantic to cut 3,000 jobs and quit Gatwick","The airline will axe a third of its workforce in response to the ""severe impact"" of coronavirus."
http://www.bbc.com/news/science-environment-52543589,More than 3bn could live in extreme heat by 2070,"Areas such as India, Australia and Africa are predicted to be among the worst affected."
http://www.bbc.com/news/world-middle-east-52537663,How an Iranian airline 'helped spread coronavirus',An investigation by BBC News Arabic has found how one Iranian airline contributed to the spread of the virus around the Middle East.
http://www.bbc.com/sport/football/52542756,'Under 45-minute halves an option',Professional Footballers' Association chief executive Gordon Taylor says halves of less than 45 minutes are being considered when football resumes.
http://www.bbc.com/sport/formula1/52550414,F1 bosses make final budget offer to teams,Formula 1 bosses have made a final offer to teams of a sliding scale budget cap reducing from $145m to $130m over the next three years.
http://www.bbc.com/sport/football/52550879,Newcastle fans to raise Saudi issues,Newcastle fans say they will raise issues about Saudi Arabia's human rights abuses even if they support the prospective takeover of the club.
https://www.bbc.com/travel/story/20200505-covid-19-free-holidays-for-healthcare-staff,Free holidays for healthcare staff,Thousands of rooms around the world are on offer
https://www.bbc.com/worklife/article/20200504-covid-19-update-quarantine-home-workouts-during-coronavirus,The odd industry of home fitness,How exercise indoors shaped our lives far before Covid-19
https://www.bbc.com/news/in-pictures-52462204,Your pictures of lockdown at home,Our readers reveal the new normal of their life during the coronavirus crisis
http://www.bbc.com/news/world-africa-52545582,Somalia probes coronavirus aid plane crash,"The African Express aircraft crashed in flames before it was due to land, killing all six on board."
https://www.bbc.co.uk/news/world-africa-52532741,Is Mozambique the latest outpost of Islamic State?,NA
https://www.bbc.co.uk/news/live/world-africa-47639452?ns_mchannel=social&ns_source=twitter&ns_campaign=bbc_live&ns_linkname=5eb158ff8fc6dd066fb1ca40%26Diamond%20diggers%20trapped%20after%20Liberia%20mine%20collapse%262020-05-05T12%3A26%3A53.848Z&ns_fee=0&pinned_post_locator=urn:asset:9ea90700-a6fa-407d-8027-fd159d7b292d&pinned_post_asset_id=5eb158ff8fc6dd066fb1ca40&pinned_post_type=share,Diamond diggers trapped after Liberia mine collapse,"At least 25 people are thought to be underground after a hole they had dug fell in, officials say."
http://www.bbc.com/news/world-africa-52502181,Exercising the freedom to jog in South Africa,South Africans take to the streets and beachfronts as lockdown restrictions are slightly eased.
https://www.bbc.com/culture/story/20200504-the-ramayan-why-indians-are-turning-to-nostalgic-tv,The TV episodes watched by 170 million,Why TV series from decades ago are being broadcast again
https://www.bbc.com/worklife/article/20200429-swedens-male-only-supper-clubsfor-feminists,Inside Sweden's feminist men's clubs,Private dinners where men discuss feelings and equality have taken off
https://www.bbc.com/travel/story/20200429-americas-fried-chicken-war,America’s 'fried chicken war',How a mouth-watering rivalry came to define part of America’s Heartland
http://www.bbc.com/future/article/20200501-the-performance-enhancing-trick-to-being-a-better-athlete,The mental trick to overcome fatigue,There is evidence the placebo effect could give athletes an edge
http://www.bbc.com/future/article/20200504-which-trees-reduce-air-pollution-best,The best trees to reduce air pollution,"Urban trees can help cut air pollution, but which do the best job?"
https://www.bbc.com/news/entertainment-arts-52543143,Stars dress to impress for cancelled Met Gala,"The fashion extravaganza was axed, but some stars revealed their outfits anyway"
https://www.bbc.com/news/world-us-canada-51577693,How a reality show winner ended up on the streets,"Michael Wray won Hell's Kitchen, but then his life took a turn for the worse"
http://www.bbc.com/news/uk-52545334,'There was no social distancing on the...,NA
http://www.bbc.com/news/world-52530730,Hundreds of sheep flock to lockdown city,NA
http://www.bbc.com/news/world-africa-52531983,East Africa's biggest locust swarms in 70...,NA
http://www.bbc.com/news/world-52530728,'Our dad wrote the VE peace document',NA
http://www.bbc.com/news/world-52536070,Thanking healthcare workers worldwide,NA
http://www.bbc.com/news/uk-40358825,Boris Johnson struggles in interview,NA
http://www.bbc.com/news/world-us-canada-40362067,Ready for the total solar eclipse?,NA
http://www.bbc.com/news/world-australia-40365981,Koalas 'face extinction' in parts of...,NA
http://www.bbc.com/news/world-middle-east-40366136,Video 'shows Mosul mosque's destruction',NA
http://www.bbc.com/news/world-asia-40360168,Indonesia's female 'devil wheel' riders,NA
http://www.bbc.com/news/world-us-canada-52536421,When might Hollywood reopen for business?,NA
http://www.bbc.com/news/10462520,One-minute World News,NA
http://www.bbc.com/news/health-52536661,Study of NHS staff to understand who catches...,NA
http://www.bbc.com/news/health-52507731,How lockdown affects babies,NA
http://www.bbc.com/news/world-europe-52508828,'It would be better to die': Italy's lockdown...,NA
http://www.bbc.com/news/science-environment-52535075,Coronavirus: Calls to shut down 'dirty fur trade',"Mink have caught Covid-19, adding to the list of infected animals, and prompting calls for trade..."
http://www.bbc.com/news/health-52542108,'Segment and shield' way to lift UK lockdown,NA
http://www.bbc.com/news/technology-52551273,Hands on with the NHS coronavirus-tracing app,NA
http://www.bbc.com/news/entertainment-arts-52544462,The rush to make Tiger King spin-offs and sequels,NA
http://www.bbc.com/news/business-52545028,M&S extends 30-minute home delivery service,NA
http://www.bbc.com/news/world-europe-52526554,France's first coronavirus case 'was in December',NA
http://www.bbc.com/news/technology-52551023,"Cyber-spies hunt Covid-19 research, US and UK warns",NA
http://www.bbc.com/news/in-pictures-52530415,Colours of corona: Moments in isolation,NA
http://www.bbc.com/news/in-pictures-52501210,Striking news pictures from around the world,NA
http://www.bbc.com/news/in-pictures-52384143,The quiet splendour of Nordic islands,NA
http://www.bbc.com/news/world-africa-52484481,Africa's top shots: 'Corona' hair and helping hands,NA
https://www.bbc.co.uk/news/world-10768282,"We set the theme, you take the pictures",NA
